"Genus","species","Valid_binomial","Lat","Lon"
"Neoprociphilus","aceris","Neoprociphilus aceris",46.254,-119.737
"Neoprociphilus","aceris","Neoprociphilus aceris",46.285,-119.754
"Neoprociphilus","aceris","Neoprociphilus aceris",46.285,-119.754
"Neoprociphilus","aceris","Neoprociphilus aceris",46.292,-119.782
"Neoprociphilus","aceris","Neoprociphilus aceris",46.591,-117.904
"Neoprociphilus","aceris","Neoprociphilus aceris",46.609,-117.893
"Neoprociphilus","aceris","Neoprociphilus aceris",46.323,-120.008
"Neoprociphilus","aceris","Neoprociphilus aceris",46.3,-119.93
"Neoprociphilus","aceris","Neoprociphilus aceris",46.3,-119.93
"Neoprociphilus","aceris","Neoprociphilus aceris",46.212,-121.19
"Neoprociphilus","aceris","Neoprociphilus aceris",43.619,-87.952
"Neoprociphilus","aceris","Neoprociphilus aceris",42.91,-79.295
"Periphyllus","aceris","Periphyllus aceris",49.713,-112.71
"Coloradoa","achilleae","Coloradoa achilleae",49.43,-113.498
"Uroleucon","achilleae","Uroleucon achilleae",49.291,-125.312
"Nasonovia","acyrthosiphon","Nasonovia acyrthosiphon",51.371,-117.016
"Uroleucon","adenocaulonae","Uroleucon adenocaulonae",50.108,-122.988
"Uroleucon","adenocaulonae","Uroleucon adenocaulonae",49.913,-120.795
"Macrosiphum","adianti","Macrosiphum adianti",50.82,-122.035
"Macrosiphum","adianti","Macrosiphum adianti",49.683,-124.983
"Macrosiphum","adianti","Macrosiphum adianti",49.514,-124.786
"Macrosiphum","adianti","Macrosiphum adianti",49.514,-124.786
"Macrosiphum","adianti","Macrosiphum adianti",49.322,-119.476
"Macrosiphum","adianti","Macrosiphum adianti",52.321,-121.522
"Macrosiphum","adianti","Macrosiphum adianti",49.31,-119.57
"Macrosiphum","adianti","Macrosiphum adianti",55.092,-127.892
"Macrosiphum","adianti","Macrosiphum adianti",50.825,-121.685
"Macrosiphum","adianti","Macrosiphum adianti",49.747,-115.783
"Macrosiphum","adianti","Macrosiphum adianti",49.304,-115.111
"Macrosiphum","adianti","Macrosiphum adianti",49.374,-123.288
"Macrosiphum","adianti","Macrosiphum adianti",49.374,-123.288
"Macrosiphum","adianti","Macrosiphum adianti",49.35,-119.567
"Macrosiphum","adianti","Macrosiphum adianti",49.48,-120.479
"Macrosiphum","adianti","Macrosiphum adianti",53,-122.5
"Macrosiphum","adianti","Macrosiphum adianti",50.707,-122.288
"Macrosiphum","adianti","Macrosiphum adianti",49.183,-119.55
