"Internal_node_number","Environmental_PC1","Environmental_PC2","Environmental_PC3","Environmental_PC4","Environmental_PC5","Speciation_rates","Host_use_evolution_PC_1","Host_use_evolution_PC_2","Host_use_breadth_evolution"
487,-574.8365703,-5.763064439,-0.131242872,6.214164987,-1.281375669,-4.460870089,-4.336052673,-5.708320199,-5.756332619
488,-2.378342447,-5.039577841,-1.009052964,-3.79201981,1.892406984,-3.636767728,-4.415638236,-4.23947417,-0.269713232
489,-6.914152139,0.552033983,0.828018913,-7.214066927,-6.504791302,4.159567633,9.438303506,2.002553287,7.343738868
490,17.45295618,-1.756386626,8.29226019,2.113000741,6.987477231,1.963551831,-5.966518099,-2.333603589,-7.751676001
491,-11.82562549,5.254950659,-6.674711669,9.95046395,2.400837163,-3.644844421,9.790183799,10.55985362,2.118705921
492,-5.747509389,9.49726675,8.923109639,-1.530886108,-1.367847462,7.794525995,10.83467983,4.944902739,-2.042161617
493,56.68762161,1.032077559,1.003349022,0.195298682,-0.441172939,-0.149402904,-1.319959307,-1.788103382,0.59696786
494,-106.0438732,-0.216559202,0.817203157,-0.409881401,1.088299316,2.454275465,1.137142266,1.834687043,3.249229769
495,-96.62811396,2.026267139,1.283575874,1.489648495,2.388115279,2.416792697,0.897531157,1.298191965,3.89580963
496,159.5098557,1.876936019,-0.231140797,0.615985651,-0.545461347,1.675686879,-0.384556727,-3.533341611,-0.766912611
497,-114.9085846,-7.841996474,-2.319193375,-1.850604368,-4.638585367,-2.067710996,-2.029292987,-6.120383625,-6.472487191
